Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
235,-0.04,0.00,-0.17,0.28,-0.33,9.89,0,0,0
236,-0.05,-0.00,-0.18,0.26,-0.34,9.80,0,0,0
237,-0.05,-0.01,-0.19,0.29,-0.39,9.83,0,0,0
238,-0.04,-0.01,-0.17,0.34,-0.30,9.93,0,0,0
239,-0.04,0.00,-0.16,0.33,-0.37,9.84,0,0,0
240,-0.03,0.00,-0.15,0.32,-0.36,9.96,0,0,0
241,-0.03,-0.00,-0.17,0.32,-0.22,9.88,0,0,0
242,-0.05,-0.01,-0.24,0.27,-0.21,9.98,0,0,0
243,-0.06,-0.00,-0.27,0.34,-0.36,9.92,0,0,0
244,-0.06,-0.01,-0.24,0.34,-0.44,9.82,0,0,0
245,-0.04,-0.01,-0.19,0.39,-0.45,9.81,0,0,0
246,-0.03,-0.01,-0.17,0.34,-0.45,9.72,0,0,0
247,-0.01,-0.01,-0.14,0.38,-0.37,9.95,0,0,0
248,-0.02,-0.01,-0.18,0.27,-0.20,9.95,0,0,0
249,-0.04,-0.02,-0.21,0.34,-0.33,9.85,0,0,0
250,-0.04,-0.02,-0.21,0.29,-0.34,9.87,0,0,0
251,-0.04,-0.01,-0.17,0.34,-0.41,9.82,0,0,0
252,-0.03,-0.01,-0.16,0.37,-0.34,9.96,0,0,0
253,-0.03,-0.00,-0.20,0.29,-0.19,9.93,0,0,0
254,-0.05,-0.02,-0.25,0.21,-0.33,9.81,0,0,0
255,-0.05,-0.01,-0.24,0.39,-0.37,9.90,0,0,0
256,-0.04,-0.01,-0.22,0.39,-0.45,9.86,0,0,0
257,-0.03,-0.02,-0.21,0.32,-0.38,9.79,0,0,0
258,-0.03,-0.03,-0.20,0.34,-0.35,9.94,0,0,0
259,-0.03,-0.02,-0.17,0.43,-0.37,9.95,0,0,0
260,-0.04,-0.00,-0.13,0.44,-0.41,9.97,0,0,0
261,-0.04,-0.00,-0.13,0.32,-0.36,9.87,0,0,0
262,-0.04,-0.01,-0.16,0.30,-0.36,9.82,0,0,0
263,-0.03,-0.02,-0.16,0.45,-0.38,9.87,0,0,0
264,-0.02,-0.02,-0.18,0.41,-0.21,9.73,0,0,0
265,-0.03,-0.02,-0.24,0.27,-0.34,9.84,0,0,0
266,-0.01,-0.03,-0.24,0.35,-0.43,9.89,0,0,0
267,-0.01,-0.04,-0.22,0.35,-0.35,9.87,0,0,0
268,-0.01,-0.04,-0.19,0.40,-0.45,9.84,0,0,0
269,0.00,-0.03,-0.18,0.25,-0.45,9.85,0,0,0
270,0.00,-0.04,-0.17,0.25,-0.38,9.90,0,0,0
271,-0.02,-0.03,-0.20,0.38,-0.34,9.93,0,0,0
272,-0.03,-0.03,-0.19,0.35,-0.41,10.04,0,0,0
273,-0.03,-0.02,-0.16,0.31,-0.42,9.99,0,0,0
274,-0.03,-0.02,-0.14,0.36,-0.40,9.99,0,0,0
275,-0.02,-0.02,-0.13,0.31,-0.32,9.89,0,0,0
276,-0.03,-0.02,-0.16,0.22,-0.31,9.86,0,0,0
277,-0.03,-0.02,-0.19,0.25,-0.30,9.77,0,0,0
278,-0.04,-0.02,-0.24,0.26,-0.28,9.93,0,0,0
279,-0.06,-0.01,-0.27,0.32,-0.32,10.07,0,0,0
280,-0.07,0.00,-0.25,0.33,-0.41,9.89,0,0,0
281,-0.05,0.00,-0.22,0.37,-0.35,9.83,0,0,0
282,-0.04,-0.01,-0.19,0.32,-0.36,9.78,0,0,0
283,-0.02,-0.02,-0.20,0.34,-0.33,9.74,0,0,0
284,-0.02,-0.04,-0.23,0.28,-0.24,9.91,0,0,0
285,-0.03,-0.04,-0.24,0.40,-0.38,9.90,0,0,0
286,-0.03,-0.04,-0.24,0.47,-0.35,10.07,0,0,0
287,-0.05,-0.02,-0.25,0.36,-0.40,9.96,0,0,0
288,-0.06,-0.01,-0.25,0.30,-0.45,9.93,0,0,0
289,-0.06,-0.01,-0.25,0.23,-0.47,9.93,0,0,0
290,-0.06,-0.00,-0.24,0.31,-0.50,9.96,0,0,0
291,-0.07,0.01,-0.22,0.33,-0.45,9.89,0,0,0
292,-0.06,0.00,-0.21,0.37,-0.38,9.96,0,0,0
293,-0.07,-0.01,-0.19,0.39,-0.38,9.94,0,0,0
294,-0.07,-0.01,-0.19,0.42,-0.40,9.93,0,0,0
295,-0.06,-0.01,-0.19,0.34,-0.46,9.74,0,0,0
296,-0.05,-0.01,-0.17,0.32,-0.34,9.81,0,0,0
297,-0.05,0.00,-0.19,0.39,-0.40,9.89,0,0,0
298,-0.05,-0.01,-0.17,0.45,-0.34,9.84,0,0,0
299,-0.03,-0.02,-0.17,0.41,-0.20,9.81,0,0,0
300,-0.03,-0.04,-0.23,0.29,-0.23,9.83,0,0,0
301,-0.02,-0.05,-0.25,0.27,-0.34,9.74,0,0,0
302,-0.02,-0.05,-0.25,0.32,-0.38,9.74,0,0,0
303,0.00,-0.04,-0.21,0.34,-0.54,9.73,0,0,0
304,0.01,-0.04,-0.19,0.29,-0.51,9.82,0,0,0
305,0.02,-0.05,-0.18,0.23,-0.36,9.92,0,0,0
306,0.01,-0.05,-0.19,0.27,-0.23,9.92,0,0,0
307,-0.02,-0.04,-0.25,0.27,-0.31,10.04,0,0,0
308,-0.04,-0.03,-0.26,0.29,-0.44,10.07,0,0,0
309,-0.05,-0.01,-0.23,0.31,-0.49,9.96,0,0,0
310,-0.05,-0.00,-0.20,0.36,-0.48,10.04,0,0,0
311,-0.04,0.01,-0.18,0.44,-0.41,9.99,0,0,0
312,-0.05,0.02,-0.17,0.30,-0.34,10.00,0,0,0
313,-0.06,0.01,-0.18,0.25,-0.29,9.96,0,0,0
314,-0.07,0.01,-0.21,0.34,-0.35,9.87,0,0,0
315,-0.07,0.01,-0.21,0.32,-0.36,9.75,0,0,0
316,-0.05,-0.01,-0.24,0.33,-0.33,9.84,0,0,0
317,-0.05,-0.02,-0.26,0.35,-0.26,9.79,0,0,0
318,-0.05,-0.03,-0.28,0.31,-0.31,9.96,0,0,0
319,-0.06,-0.03,-0.28,0.34,-0.44,9.84,0,0,0
320,-0.04,-0.03,-0.26,0.43,-0.41,9.89,0,0,0
321,-0.04,-0.02,-0.26,0.34,-0.36,9.88,0,0,0
322,-0.05,-0.01,-0.25,0.43,-0.41,9.94,0,0,0
323,-0.04,-0.01,-0.24,0.34,-0.47,9.97,0,0,0
324,-0.04,-0.02,-0.23,0.35,-0.43,9.98,0,0,0
325,-0.05,-0.02,-0.21,0.31,-0.41,9.92,0,0,0
326,-0.05,-0.01,-0.21,0.30,-0.42,9.90,0,0,0
327,-0.05,-0.01,-0.22,0.29,-0.38,9.92,0,0,0
328,-0.07,-0.00,-0.24,0.31,-0.41,9.85,0,0,0
329,-0.07,-0.00,-0.22,0.37,-0.45,9.95,0,0,0
330,-0.06,-0.00,-0.20,0.41,-0.38,9.92,0,0,0
331,-0.05,0.00,-0.18,0.31,-0.43,9.89,0,0,0
332,-0.04,-0.00,-0.16,0.32,-0.36,9.91,0,0,0
333,-0.04,-0.00,-0.15,0.39,-0.30,9.91,0,0,0
334,-0.04,-0.00,-0.17,0.35,-0.28,9.78,0,0,0
335,-0.03,-0.01,-0.18,0.29,-0.29,9.83,0,0,0
336,-0.03,-0.02,-0.19,0.26,-0.30,9.81,0,0,0
337,-0.03,-0.03,-0.20,0.35,-0.37,9.78,0,0,0
338,-0.02,-0.03,-0.20,0.37,-0.38,9.86,0,0,0
339,-0.02,-0.02,-0.19,0.41,-0.35,9.89,0,0,0
340,-0.02,-0.01,-0.21,0.30,-0.34,9.94,0,0,0
341,-0.03,-0.01,-0.23,0.34,-0.26,9.94,0,0,0
342,-0.06,-0.00,-0.26,0.38,-0.42,9.92,0,0,0
343,-0.05,0.01,-0.26,0.38,-0.54,10.03,0,0,0
344,-0.05,0.01,-0.24,0.34,-0.54,9.86,0,0,0
345,-0.05,0.00,-0.21,0.39,-0.50,9.86,0,0,0
346,-0.04,0.01,-0.19,0.37,-0.50,9.89,0,0,0
347,-0.04,0.01,-0.17,0.39,-0.42,9.97,0,0,0
348,-0.04,0.01,-0.14,0.39,-0.41,9.93,0,0,0
349,-0.04,-0.00,-0.14,0.35,-0.33,9.96,0,0,0
350,-0.04,-0.00,-0.17,0.32,-0.30,9.80,0,0,0
351,-0.03,-0.00,-0.18,0.32,-0.32,9.79,0,0,0
352,-0.03,-0.02,-0.18,0.33,-0.33,9.85,0,0,0
353,-0.02,-0.02,-0.18,0.37,-0.39,9.82,0,0,0
354,-0.02,-0.02,-0.18,0.33,-0.33,9.82,0,0,0
355,-0.02,-0.02,-0.18,0.34,-0.27,9.85,0,0,0
356,-0.02,-0.02,-0.18,0.40,-0.32,9.82,0,0,0
357,-0.02,-0.02,-0.19,0.33,-0.25,9.91,0,0,0
358,-0.03,-0.02,-0.24,0.32,-0.25,9.93,0,0,0
359,-0.04,-0.02,-0.27,0.32,-0.32,9.94,0,0,0
360,-0.04,-0.02,-0.29,0.34,-0.38,9.97,0,0,0
361,-0.05,-0.02,-0.29,0.40,-0.42,9.94,0,0,0
362,-0.05,-0.01,-0.28,0.38,-0.48,9.88,0,0,0
363,-0.04,-0.01,-0.26,0.30,-0.49,9.93,0,0,0
364,-0.04,-0.02,-0.23,0.42,-0.44,9.96,0,0,0
365,-0.04,-0.02,-0.24,0.35,-0.38,9.87,0,0,0
366,-0.06,-0.03,-0.28,0.36,-0.31,9.90,0,0,0
367,-0.06,-0.03,-0.29,0.38,-0.41,9.86,0,0,0
368,-0.06,-0.02,-0.25,0.45,-0.45,9.90,0,0,0
369,-0.05,-0.01,-0.23,0.48,-0.45,9.86,0,0,0
370,-0.04,-0.01,-0.18,0.32,-0.39,9.87,0,0,0
371,-0.04,-0.01,-0.18,0.34,-0.35,9.87,0,0,0
372,-0.04,-0.01,-0.20,0.33,-0.34,9.87,0,0,0
373,-0.05,-0.02,-0.22,0.32,-0.28,9.87,0,0,0
