Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
390,0.11,0.08,0.03,0.42,0.11,9.89,0,0,0
391,0.11,0.08,0.02,0.49,0.13,9.92,0,0,0
392,0.11,0.08,0.03,0.41,0.12,9.88,0,0,0
393,0.11,0.07,0.01,0.48,0.19,9.83,0,0,0
394,0.10,0.08,0.02,0.45,0.19,9.92,0,0,0
395,0.09,0.07,-0.00,0.45,0.20,9.93,0,0,0
396,0.08,0.07,0.00,0.44,0.25,9.89,0,0,0
397,0.08,0.06,0.02,0.47,0.17,9.95,0,0,0
398,0.07,0.06,0.03,0.48,0.12,9.80,0,0,0
399,0.09,0.07,0.05,0.47,0.08,9.79,0,0,0
400,0.11,0.08,0.04,0.38,0.18,9.84,0,0,0
401,0.10,0.07,0.04,0.45,0.21,9.98,0,0,0
402,0.09,0.07,0.03,0.50,0.18,9.97,0,0,0
403,0.09,0.08,0.01,0.57,0.12,9.91,0,0,0
404,0.09,0.08,-0.01,0.48,0.14,9.85,0,0,0
405,0.08,0.08,-0.00,0.50,0.17,9.79,0,0,0
406,0.09,0.06,0.02,0.45,0.12,9.88,0,0,0
407,0.09,0.06,0.02,0.54,0.09,9.84,0,0,0
408,0.09,0.07,0.02,0.61,0.07,9.84,0,0,0
409,0.11,0.09,0.02,0.48,-0.02,9.78,0,0,0
410,0.13,0.10,-0.00,0.55,-0.10,9.81,0,0,0
411,0.15,0.12,0.05,0.43,0.14,9.84,0,0,0
412,0.14,0.09,0.04,0.40,0.28,9.92,0,0,0
413,0.13,0.08,0.03,0.39,0.24,9.98,0,0,0
414,0.11,0.08,0.04,0.51,0.26,9.98,0,0,0
415,0.09,0.07,0.04,0.48,0.23,9.91,0,0,0
