Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
199,0.01,-0.00,0.00,0.12,0.03,9.71,0,0,0
200,0.01,-0.01,0.00,0.10,0.13,9.65,0,0,0
201,0.01,-0.00,0.01,0.14,0.07,9.68,0,0,0
202,0.01,-0.01,0.00,0.15,0.09,9.61,0,0,0
203,0.01,-0.00,0.01,0.11,0.07,9.65,0,0,0
204,0.00,-0.01,0.00,0.06,0.16,9.60,0,0,0
205,0.00,-0.01,0.01,0.11,0.11,9.69,0,0,0
206,0.00,-0.01,0.00,0.14,0.14,9.64,0,0,0
207,-0.00,-0.01,0.00,0.10,0.11,9.70,0,0,0
208,-0.00,-0.00,0.01,0.14,0.05,9.71,0,0,0
209,0.00,-0.01,0.01,0.17,0.05,9.68,0,0,0
210,0.00,-0.01,0.01,0.17,0.01,9.72,0,0,0
211,0.00,-0.01,0.00,0.16,-0.03,9.64,0,0,0
212,0.00,-0.01,0.00,0.15,-0.01,9.66,0,0,0
213,0.00,-0.01,0.00,0.17,0.00,9.70,0,0,0
214,0.01,-0.01,0.01,0.10,0.03,9.67,0,0,0
215,0.01,-0.01,0.01,0.09,0.09,9.70,0,0,0
216,0.01,-0.01,0.00,0.07,0.07,9.61,0,0,0
217,0.01,-0.01,0.01,0.06,0.08,9.66,0,0,0
218,0.01,-0.01,0.01,0.08,0.09,9.69,0,0,0
219,0.01,-0.01,0.01,0.09,0.07,9.66,0,0,0
220,-0.00,-0.01,0.00,0.14,0.16,9.69,0,0,0
221,0.00,-0.01,0.00,0.14,0.12,9.61,0,0,0
222,-0.00,-0.00,0.00,0.15,0.09,9.69,0,0,0
223,-0.00,-0.01,0.00,0.18,0.04,9.72,0,0,0
224,0.00,-0.01,0.00,0.16,0.00,9.68,0,0,0
225,0.00,-0.01,0.00,0.21,0.03,9.71,0,0,0
226,0.00,-0.01,0.00,0.19,0.00,9.72,0,0,0
227,0.01,-0.01,0.00,0.17,0.00,9.68,0,0,0
228,0.01,-0.01,0.00,0.18,0.01,9.61,0,0,0
229,0.01,-0.01,0.00,0.15,0.03,9.68,0,0,0
230,0.01,-0.01,0.01,0.13,0.08,9.59,0,0,0
231,0.01,-0.00,0.01,0.13,0.07,9.68,0,0,0
232,0.01,-0.01,0.01,0.11,0.10,9.68,0,0,0
233,0.00,-0.01,0.01,0.06,0.09,9.65,0,0,0
234,0.01,-0.01,0.01,0.06,0.12,9.63,0,0,0
235,0.00,-0.01,0.01,0.04,0.09,9.63,0,0,0
236,0.00,-0.01,0.00,0.11,0.11,9.54,0,0,0
237,0.00,-0.01,0.01,0.12,0.04,9.61,0,0,0
238,0.00,-0.01,0.00,0.16,0.07,9.64,0,0,0
239,0.00,-0.01,0.00,0.18,0.03,9.61,0,0,0
240,0.00,-0.01,0.01,0.15,0.01,9.66,0,0,0
241,0.01,-0.01,0.00,0.21,-0.01,9.61,0,0,0
242,0.01,-0.01,0.00,0.14,0.04,9.62,0,0,0
243,0.01,-0.01,0.00,0.17,0.08,9.61,0,0,0
244,0.01,-0.01,0.01,0.14,0.04,9.56,0,0,0
245,0.01,-0.01,0.00,0.14,0.06,9.66,0,0,0
246,0.01,-0.00,0.00,0.10,0.11,9.60,0,0,0
247,0.01,-0.01,0.00,0.12,0.10,9.66,0,0,0
248,0.01,-0.01,0.00,0.12,0.13,9.71,0,0,0
249,0.00,-0.01,0.00,0.11,0.15,9.64,0,0,0
250,0.00,-0.01,0.01,0.09,0.14,9.70,0,0,0
251,0.00,-0.01,0.01,0.11,0.11,9.58,0,0,0
252,-0.00,-0.00,0.00,0.07,0.14,9.67,0,0,0
253,-0.00,-0.00,0.01,0.15,0.07,9.66,0,0,0
254,0.00,-0.01,0.00,0.15,0.00,9.67,0,0,0
255,0.00,-0.01,0.00,0.11,0.00,9.71,0,0,0
256,0.00,-0.01,0.01,0.15,-0.03,9.75,0,0,0
257,0.01,-0.01,0.00,0.14,-0.01,9.68,0,0,0
258,0.00,-0.01,0.01,0.22,-0.02,9.73,0,0,0
259,0.01,-0.00,0.01,0.16,0.03,9.67,0,0,0
260,0.01,-0.01,0.00,0.11,0.03,9.61,0,0,0
261,0.01,-0.01,0.00,0.12,0.09,9.66,0,0,0
262,0.01,-0.01,0.01,0.03,0.13,9.66,0,0,0
263,0.01,-0.01,0.01,0.11,0.14,9.67,0,0,0
264,0.01,-0.01,0.01,0.11,0.11,9.62,0,0,0
265,0.00,-0.01,0.01,0.10,0.18,9.65,0,0,0
266,0.00,-0.01,0.00,0.13,0.12,9.66,0,0,0
267,0.00,-0.01,0.00,0.10,0.13,9.67,0,0,0
268,-0.00,-0.01,0.01,0.19,0.10,9.69,0,0,0
269,-0.00,-0.01,0.00,0.16,0.03,9.61,0,0,0
270,0.00,-0.01,0.01,0.16,0.06,9.67,0,0,0
271,0.00,-0.01,0.01,0.15,-0.04,9.70,0,0,0
272,0.01,-0.00,0.00,0.18,0.02,9.66,0,0,0
273,0.00,-0.01,0.00,0.18,0.02,9.69,0,0,0
274,0.01,-0.01,0.00,0.19,0.02,9.69,0,0,0
275,0.01,-0.01,0.01,0.11,0.07,9.64,0,0,0
276,0.01,-0.01,0.00,0.08,0.07,9.69,0,0,0
277,0.01,-0.01,0.00,0.09,0.10,9.60,0,0,0
278,0.01,-0.01,0.00,0.14,0.14,9.74,0,0,0
279,0.00,-0.01,0.00,0.07,0.07,9.64,0,0,0
280,0.00,-0.01,0.00,0.07,0.14,9.66,0,0,0
281,0.00,-0.01,0.00,0.13,0.12,9.69,0,0,0
282,0.00,-0.01,0.00,0.08,0.11,9.72,0,0,0
283,-0.00,-0.01,0.01,0.11,0.02,9.64,0,0,0
284,0.00,-0.01,0.01,0.19,0.04,9.64,0,0,0
285,0.00,-0.01,0.00,0.21,-0.03,9.64,0,0,0
286,-0.00,-0.01,0.01,0.20,-0.04,9.65,0,0,0
287,0.01,-0.01,0.01,0.11,-0.01,9.58,0,0,0
288,0.01,-0.00,0.00,0.10,0.07,9.61,0,0,0
289,0.01,-0.00,0.01,0.13,0.08,9.68,0,0,0
290,0.01,-0.00,0.00,0.10,0.09,9.65,0,0,0
291,0.00,-0.00,0.01,0.09,0.12,9.61,0,0,0
292,0.00,-0.01,0.01,0.10,0.08,9.70,0,0,0
293,0.00,-0.01,0.01,0.07,0.10,9.59,0,0,0
294,-0.00,-0.01,0.00,0.16,0.04,9.69,0,0,0
295,0.00,-0.01,0.00,0.13,-0.00,9.62,0,0,0
296,0.00,-0.01,0.00,0.17,-0.00,9.65,0,0,0
297,0.01,-0.01,0.00,0.16,0.00,9.64,0,0,0
298,0.01,-0.01,0.01,0.14,0.04,9.60,0,0,0
299,0.01,-0.01,0.01,0.11,0.09,9.65,0,0,0
300,0.00,-0.01,0.00,0.10,0.12,9.73,0,0,0
301,0.00,-0.01,0.01,0.06,0.10,9.68,0,0,0
302,0.00,-0.01,0.01,0.11,0.10,9.67,0,0,0
303,-0.00,-0.01,0.00,0.11,0.01,9.59,0,0,0
304,-0.00,-0.01,0.01,0.07,-0.02,9.65,0,0,0
305,-0.00,-0.01,0.01,0.16,-0.00,9.59,0,0,0
306,0.00,-0.01,0.00,0.11,-0.05,9.67,0,0,0
307,0.01,-0.01,0.00,0.14,-0.00,9.67,0,0,0
308,0.01,-0.01,0.00,0.18,0.01,9.68,0,0,0
309,0.01,-0.01,0.00,0.17,0.12,9.63,0,0,0
310,0.01,-0.00,0.00,0.05,0.12,9.75,0,0,0
311,0.00,-0.01,0.00,0.09,0.16,9.66,0,0,0
312,0.00,-0.01,0.00,0.13,0.15,9.63,0,0,0
313,-0.00,-0.01,0.00,0.13,0.09,9.72,0,0,0
314,-0.00,-0.01,0.00,0.18,0.02,9.61,0,0,0
315,0.00,-0.01,0.00,0.16,-0.02,9.70,0,0,0
316,0.01,-0.00,0.01,0.15,0.02,9.68,0,0,0
317,0.01,-0.01,0.01,0.10,0.04,9.61,0,0,0
318,0.01,-0.00,0.00,0.14,0.03,9.66,0,0,0
319,0.01,-0.00,0.01,0.13,0.11,9.65,0,0,0
320,0.00,-0.01,0.01,0.10,0.11,9.69,0,0,0
321,0.00,-0.01,0.00,0.10,0.17,9.65,0,0,0
322,0.00,-0.01,0.01,0.14,0.15,9.62,0,0,0
323,-0.00,-0.01,0.00,0.13,0.10,9.67,0,0,0
